Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,75-84 years,75-84,Female,F,61,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,85+ years,85+,Female,F,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Endometrium - Malignant neoplasms,C54.1,65-74 years,65-74,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of uterus, part unspecified",C55,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,45-54 years,45-54,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,55-64 years,55-64,Female,F,33,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,65-74 years,65-74,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of ovary,C56,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,55-64 years,55-64,Male,M,54,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,65-74 years,65-74,Male,M,113,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,75-84 years,75-84,Male,M,150,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm of prostate,C61,85+ years,85+,Male,M,56,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Malignant neoplasm of kidney, except renal pelvis",C64,75-84 years,75-84,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
